Id,WnvPresent
1,0.003333333
2,0.003333333
3,0.003333333
4,0
5,0.001372549
6,0
7,0.003333333
8,0.001372549
9,0.0046875
10,0.0046875
11,0.0046875
12,0
13,0
14,0
15,0.0046875
16,0
17,0.004871795
18,0.004871795
19,0.004871795
20,0
21,0.004586835
22,0.001547619
23,0.004871795
24,0.004586835
113,0.003205128
114,0.003205128
115,0.003205128
116,0
117,0.002958333
118,0.001547619
119,0.003205128
120,0.002958333
121,0.006083333
122,0.006083333
123,0.006083333
124,0.003333333
125,0.006372549
126,0.001333333
127,0.006083333
128,0.006372549
145,0.009549214
146,0.009549214
147,0.009549214
148,0.004677419
149,0.007508302
150,0.001344086
151,0.009549214
152,0.007508302
153,0.00474359
154,0.00474359
155,0.00474359
156,0.001666667
157,0.002356209
158,0.001666667
159,0.00474359
160,0.002356209
161,0.008076923
162,0.008076923
163,0.008076923
164,0
165,0.003810049
166,0
167,0.008076923
168,0.003810049
177,0.001666667
178,0.001666667
179,0.001666667
180,0.002692308
181,0.004586835
182,0.001547619
183,0.001666667
184,0.004586835
185,0.004455128
186,0.004455128
187,0.004455128
188,0
189,0.004611111
190,0.004666667
191,0.004455128
192,0.004611111
241,0.001666667
242,0.001666667
243,0.001666667
244,0
245,0.003039216
246,0.004538462
247,0.001666667
248,0.003039216
249,0.001666667
250,0.001666667
251,0.001666667
252,0
253,0.016325235
254,0.003333333
255,0.001666667
256,0.016325235
265,0.009301994
266,0.009301994
267,0.009301994
268,0.003253968
269,0
270,0
271,0.009301994
272,0
281,0.011940952
282,0.011940952
283,0.011940952
284,0.008010753
285,0.004677419
286,0.003010753
287,0.011940952
288,0.004677419
289,0.004677419
290,0.004677419
291,0.004677419
292,0.004677419
293,0.004677419
294,0.002677419
295,0.004677419
296,0.004677419
297,0.009455128
298,0.009455128
299,0.009455128
300,0
301,0.001372549
302,0.004574074
303,0.009455128
304,0.001372549
337,0.004055556
338,0.004055556
339,0.004055556
340,0
341,0.005781746
342,0.006809913
343,0.004055556
344,0.005781746
345,0.015
346,0.015
347,0.015
348,0.00127451
349,0.004695767
350,0.003214286
351,0.015
352,0.004695767
353,0.003333333
354,0.003333333
355,0.003333333
356,0.001527778
357,0
358,0.003
359,0.003333333
360,0
361,0.015468661
362,0.015468661
363,0.015468661
364,0.003333333
365,0.001666667
366,0.003
367,0.015468661
368,0.001666667
369,0
370,0
371,0
372,0.001666667
373,0.007607744
374,0
375,0
376,0.007607744
377,0.009038462
378,0.009038462
379,0.009038462
380,0
381,0
382,0.003205128
383,0.009038462
384,0
385,0.007833333
386,0.007833333
387,0.007833333
388,0
389,0.004462827
390,0.003
391,0.007833333
392,0.004462827
401,0.004677419
402,0.004677419
403,0.004677419
404,0.008010753
405,0.011073523
406,0.006225038
407,0.004677419
408,0.011073523
473,0.007833333
474,0.007833333
475,0.007833333
476,0.002652505
477,0.003039216
478,0.001666667
479,0.007833333
480,0.003039216
481,0
482,0
483,0
484,0.00799606
485,0.001333333
486,0.001666667
487,0
488,0.001333333
489,0.008981481
490,0.008981481
491,0.008981481
492,0.003333333
493,0.001277778
